domain,year,team,team_slug,page_type,page_url,review_depth,last_checked,award_relationship,strengths,limitations
story,2025,EPFL,epfl,home,https://2025.igem.wiki/epfl/,deep,2026-09-08,Best Wiki winner UG,"Problem-first opening; visible routes to core evidence; restrained motion","Home cannot substitute for Results or detailed evidence pages"
story,2025,GreatBay-SCIE,greatbay-scie,home,https://2025.igem.wiki/greatbay-scie/,deep,2026-09-08,Best Wiki winner HS,"Connects project story to model wet-lab HP and implementation routes","Multiple messages still need one dominant project sentence"
story,2025,Heidelberg,heidelberg,home,https://2025.igem.wiki/heidelberg/,targeted,2026-09-08,Best Wiki nominee OG,"Navigation subtitles preview page purpose and make a dense project scannable","Decorative transitions need text and reduced-motion fallbacks"
story,2024,JU-Krakow,ju-krakow,home,https://2024.igem.wiki/ju-krakow/,deep,2026-09-08,Best Wiki winner UG,"Local stakes and a consistent visual story lead into evidence pages","Dynamic counters can fail or show zero without robust fallbacks"
story,2023,ShanghaiTech-China,shanghaitech-china,home,https://2023.igem.wiki/shanghaitech-china/,deep,2026-09-08,Best Wiki winner UG,"Home routes quickly to engineering and results evidence","Long pages need reading-position cues and clearer section summaries"
story,2023,ZJU-China,zju-china,home,https://2023.igem.wiki/zju-china/,deep,2026-09-08,Best Wiki winner UG,"Problem-to-solution framing connects molecular and system scales","Dense visual hierarchy benefits from short plain-language summaries"
story,2022,Patras-Medicine,patras-medicine,home,https://2022.igem.wiki/patras-medicine/,targeted,2026-09-08,Best Wiki winner UG,"Succinct project framing and direct routes reduce orientation cost","The landing page alone cannot establish scientific maturity"
story,2021,NUS-Singapore,NUS_Singapore,home,https://2021.igem.org/Team:NUS_Singapore,deep,2026-09-08,Best Wiki winner UG,"Explicit model and experiment routes make integration visible","Legacy interface patterns should not be copied without modernization"
story,2021,EPFL,EPFL,home,https://2021.igem.org/Team:EPFL,deep,2026-09-08,Best Wiki winner OG,"Navigation subtitles and cross-domain links expose project integration","Legacy navigation and responsiveness need current-browser rechecking"
story,2021,TAS-Taipei,TAS_Taipei,home,https://2021.igem.org/Team:TAS_Taipei,deep,2026-09-08,Best Wiki winner HS,"Model prototype and application are connected in the top-level story","Motion-heavy storytelling needs equivalent static and keyboard access"
wetlab,2025,EPFL,epfl,measurement,https://2025.igem.wiki/epfl/measurement,deep,2026-09-08,Best Measurement winner UG,"Measurement purpose calibration processing and interpretation are linked","Readers still need downloadable raw data and unambiguous units"
wetlab,2025,ShanghaiTech-China,shanghaitech-china,measurement,https://2025.igem.wiki/shanghaitech-china/measurement,deep,2026-09-08,Best Measurement nominee UG,"Experimental workflow and quantitative readouts are organized around decisions","Replicate counts and uncertainty should remain visible beside figures"
wetlab,2025,Aalto-Helsinki,aalto-helsinki,measurement,https://2025.igem.wiki/aalto-helsinki/measurement,deep,2026-09-08,Best Measurement winner OG,"Methods controls and interpretation form a traceable measurement story","Strong presentation does not replace machine-readable data provenance"
wetlab,2025,GEMS-Taiwan,gems-taiwan,measurement,https://2025.igem.wiki/gems-taiwan/measurement,deep,2026-09-08,Best Measurement nominee HS,"Measurement choices are explained for readers outside the subfield","Instrument settings and analysis scripts need equally direct access"
wetlab,2025,GreatBay-SCIE,greatbay-scie,engineering,https://2025.igem.wiki/greatbay-scie/engineering,deep,2026-09-08,Strong cross-domain wiki and HP winner HS,"DBTL cycles connect design changes to observed evidence","Cycle summaries should distinguish completed repeats from proposed work"
wetlab,2024,JU-Krakow,ju-krakow,engineering,https://2024.igem.wiki/ju-krakow/engineering,deep,2026-09-08,Best Wiki winner UG,"Iteration is narrated as decisions rather than a chronological lab diary","Some causal claims need direct links to the corresponding result"
wetlab,2023,ShanghaiTech-China,shanghaitech-china,engineering,https://2023.igem.wiki/shanghaitech-china/engineering,deep,2026-09-08,Best Wiki winner UG,"Engineering cycles expose what changed and why","Dense sections benefit from a cycle-level claim evidence table"
wetlab,2021,NUS-Singapore,NUS_Singapore,engineering,https://2021.igem.org/Team:NUS_Singapore/Engineering,deep,2026-09-08,Best Wiki winner UG,"Model sensitivity prompted a three-repeat wet-lab experiment","The result supports tested conditions rather than broad generalization"
model,2025,Peking,peking,model,https://2025.igem.wiki/peking/model/,deep,2026-09-08,Best Model winner UG,"Repeated hierarchy exposes purpose assumptions methods parameters sources and results","A simulated demonstration dataset must remain labeled as an example"
model,2025,Heidelberg,heidelberg,model,https://2025.igem.wiki/heidelberg/model,deep,2026-09-08,Best Model winner OG,"Purpose-led modules connect optimization to experimental choices","Dense multi-model pipelines need a compact dependency map"
model,2025,Munich,munich,model,https://2025.igem.wiki/munich/model,deep,2026-09-08,Best Model nominee OG,"Goals methods results discussion code and wet-lab consequences are separated clearly","A repository link alone is not a reproduction path"
model,2025,SUSTech-BIO,sustech-bio,model,https://2025.igem.wiki/sustech-bio/model,deep,2026-09-08,Best Model nominee UG,"Experimental response surfaces and predictive models form a design loop","Accuracy claims require split strategy metric definition and uncertainty"
model,2025,GEMS-Taiwan,gems-taiwan,model,https://2025.igem.wiki/gems-taiwan/model,deep,2026-09-08,Best Model nominee HS,"Rational design learning kinetics literature and candidate comparison are integrated","Computational screening must stay distinct from biochemical confirmation"
model,2025,Lambert-GA,lambert-ga,model,https://2025.igem.wiki/lambert-ga/model/,deep,2026-09-08,Best Model nominee HS,"Purposes data assumptions outputs and judging questions are stated early","Long-range forecasts need explicit stability and generalization limits"
model,2024,Heidelberg,heidelberg,model,https://2024.igem.wiki/heidelberg/model,deep,2026-09-08,Best Model winner UG,"Three-scale pipeline exposes inputs outputs calibration HPC details and computational limits","Unprocessed data volume is a limitation not validation"
model,2022,TU-Eindhoven,tu-eindhoven,model,https://2022.igem.wiki/tu-eindhoven/model,deep,2026-09-08,Best Model winner UG,"Parameter units sources global sensitivity and wet-lab repeats are integrated","Fitted parameters and independently validated parameters must be distinguished"
model,2021,NUS-Singapore,NUS_Singapore,model,https://2021.igem.org/Team:NUS_Singapore/Model,deep,2026-09-08,Best Model nominee and Best Wiki winner UG,"Sensitivity analysis triggered a three-repeat experiment and documented improvement","Do not generalize beyond tested conditions"
model,2021,TAS-Taipei,TAS_Taipei,model,https://2021.igem.org/Team:TAS_Taipei/Model,deep,2026-09-08,Best Model and Best Wiki winner HS,"Each model connects to experiment prototype or application and records an unresolved issue","Unsupported environmental extrapolation belongs in future work"
hp,2025,NYU-Abu-Dhabi,nyu-abu-dhabi,human-practices,https://2025.igem.wiki/nyu-abu-dhabi/human-practices,deep,2026-09-08,Best Integrated Human Practices winner UG,"Stakeholder inputs are linked to concrete project changes","Contact volume is not a substitute for showing decision impact"
hp,2025,Munich,munich,human-practices,https://2025.igem.wiki/munich/human-practices,deep,2026-09-08,Best Integrated Human Practices nominee OG,"Engagement is organized around questions feedback interpretation and response","Chronology can obscure which choices changed without an integration summary"
hp,2025,UniMuenster,unimuenster,human-practices,https://2025.igem.wiki/unimuenster/human-practices,deep,2026-09-08,Best Integrated Human Practices and Education nominee OG,"Education and stakeholder work are connected to project responsibilities","Participation evidence and learning outcomes require distinct measures"
hp,2025,GreatBay-SCIE,greatbay-scie,human-practices,https://2025.igem.wiki/greatbay-scie/human-practices,deep,2026-09-08,Best Integrated Human Practices winner HS,"Human Practices visibly affects technical and implementation choices","Broad activity coverage needs prioritization by decision consequence"
hp,2025,Aalto-Helsinki,aalto-helsinki,sustainability,https://2025.igem.wiki/aalto-helsinki/sustainable,deep,2026-09-08,Best Sustainable Development Impact winner OG,"Sustainability is treated as design constraints and tradeoffs","SDG alignment alone cannot demonstrate measured impact"
hp,2024,JU-Krakow,ju-krakow,human-practices,https://2024.igem.wiki/ju-krakow/human-practices,deep,2026-09-08,Best Wiki winner UG,"Local context and stakeholder encounters feed the project narrative","Make the before and after design decision explicit for each key input"
hp,2023,ShanghaiTech-China,shanghaitech-china,human-practices,https://2023.igem.wiki/shanghaitech-china/human-practices,deep,2026-09-08,Best Wiki winner UG,"Engagement is cross-linked with engineering and implementation","A long activity list benefits from an evidence-backed integration map"
hp,2021,LINKS-China,LINKS_China,human-practices,https://2021.igem.org/Team:LINKS_China/Human_Practices,deep,2026-09-08,Best Wiki winner and Integrated HP nominee HS,"Stakeholder interactions are connected across education and project development","Legacy labels and navigation need reinterpretation under current criteria"
implementation,2025,Cornell,cornell,hardware,https://2025.igem.wiki/cornell/hardware,deep,2026-09-08,Best Hardware winner UG,"User need design iterations tests and physical constraints are connected","Prototype success must be bounded by tested operating conditions"
implementation,2025,Rochester,rochester,hardware,https://2025.igem.wiki/rochester/hardware,deep,2026-09-08,Best Hardware nominee UG,"Hardware development is presented as an engineering workflow","Usability and reliability evidence need representative users and repeated trials"
implementation,2025,BIT-China,bit-china,software,https://2025.igem.wiki/bit-china/software,deep,2026-09-08,Best Software winner UG,"Software purpose workflow and project integration are visible","Current-season eligibility and repository accessibility must be checked separately"
implementation,2025,UBC-Vancouver,ubc-vancouver,software,https://2025.igem.wiki/ubc-vancouver/software,deep,2026-09-08,Best Software nominee UG,"User-facing workflow is tied to a project decision","Screenshots alone cannot establish reproducibility or usability"
implementation,2025,HPI-Potsdam,hpi-potsdam,safety,https://2025.igem.wiki/hpi-potsdam/safety,deep,2026-09-08,Best Safety winner OG,"Risks controls and residual limitations are made visible","A checklist should not replace scenario-specific evidence"
implementation,2025,UCalgary,ucalgary,safety,https://2025.igem.wiki/ucalgary/safety,deep,2026-09-08,Best Safety winner UG,"Safety reasoning is connected to design decisions","Compliance statements need concrete controls and verification"
implementation,2025,SUSTech-BIO,sustech-bio,entrepreneurship,https://2025.igem.wiki/sustech-bio/entrepreneurship,deep,2026-09-08,Best Entrepreneurship winner UG,"Value proposition users feasibility and technical evidence are connected","Market narratives must preserve technical maturity boundaries"
implementation,2025,Aalto-Helsinki,aalto-helsinki,sustainability,https://2025.igem.wiki/aalto-helsinki/sustainable,deep,2026-09-08,Best Sustainable Development Impact winner OG,"Deployment tradeoffs are evaluated through sustainability constraints","Projected impact must be distinguished from measured impact"
